_id,lat,lon,region,name_en,name_ru,official_status
297958920,44.8422046,38.2954504,Краснодарский край,Akhtyrskiy,Ахтырский,посёлок городского типа
297958924,44.8649528,38.1578189,Краснодарский край,Abinsk,Абинск,город
298061350,46.6284506,38.6624971,Краснодарский край,Staroshcherbinovskaya,Старощербиновская,станица
298080404,45.2360889,38.9712606,Краснодарский край,Novotitarovskaya,Новотитаровская,станица
298352406,44.4618046,39.7410480,Краснодарский край,Apsheronsk,Апшеронск,город
298364538,45.8546790,40.1281240,Краснодарский край,Tikhoretsk,Тихорецк,город
298455987,44.8833775,39.1909625,Адыгея,Adygeysk,Адыгейск,город
298761165,45.7345350,38.7395550,Краснодарский край,Rogovskaya,Роговская,станица
299466010,44.9633478,35.2381272,,Koktebel,Коктебель,посёлок городского типа
300156975,54.3539200,41.9266430,Рязанская область,Sasovo,Сасово,город
300377090,59.8424000,31.5866570,Ленинградская область,Naziya,Назия,посёлок городского типа
300582728,57.1442457,103.9240720,,Novaya Igirma,Новая Игирма,посёлок городского типа
300612214,56.5779150,104.1229400,Иркутская область,Zheleznogorsk-Ilimsky,Железногорск-Илимский,город
300659754,58.5963290,99.1829150,Красноярский край,Kodinsk,Кодинск,город
300797342,53.9952770,37.8134190,Тульская область,Borodinskiy,Бородинский,посёлок
301014636,53.6247165,52.4182422,Оренбургская область,,Бугуруслан,город
301246150,54.9417584,22.4913626,Калининградская область,Krasnoznamensk,Краснознаменск,город
301304385,58.4206120,29.3706000,Псковская область,Plyussa,Плюсса,рабочий посёлок
301337780,55.6359979,38.0448181,Московская область,Udelnaya,Удельная,дачный посёлок
301425089,51.4787560,57.3507960,Оренбургская область,Kuvandyk,Кувандык,город
301489268,45.9538150,40.7072030,Краснодарский край,Novopokrovskaya,Новопокровская,станица
301490224,46.0784190,40.8637010,Краснодарский край,Belaya Glina,Белая Глина,село
301491695,45.6795540,40.2754060,Краснодарский край,Arkhangelskaya,Архангельская,станица
301586748,44.8646355,37.8608578,Краснодарский край,Nizhnebakanskaya,Нижнебаканская,станица
301586752,44.9002856,37.3832216,Краснодарский край,Anapskaya,Анапская,станица
301636452,57.7763560,108.1162950,Иркутская область,Kirensk,Киренск,город
301639437,60.7145488,114.9172123,Республика Саха (Якутия),Lensk,Ленск,город
301648440,54.7268415,39.5088612,Рязанская область,,Рыбное,город
301761027,62.5410770,113.9785840,Республика Саха (Якутия),Mirny,Мирный,город
301770161,66.4117680,112.2517294,Республика Саха (Якутия),Udachny,Удачный,город
301775279,63.2866480,118.3541490,Республика Саха (Якутия),Nyurba,Нюрба,город
301778109,63.7540820,121.6265490,Республика Саха (Якутия),Vilyuysk,Вилюйск,город
301789452,65.9516363,111.4917562,Республика Саха (Якутия),Aykhal,Айхал,посёлок городского типа
301822109,62.0982890,126.6998370,Республика Саха (Якутия),Berdigestyakh,Бердигестях,село
301956144,53.4107168,109.0311228,,Ust-Barguzin,Усть-Баргузин,посёлок городского типа
301959493,60.3730160,120.4387510,Республика Саха (Якутия),Olyokminsk,Олёкминск,город
302019058,52.2023878,107.6383949,,Turuntaevo,Турунтаево,село
302036717,53.9608190,105.8851470,Иркутская область,Kachug,Качуг,рабочий посёлок
302066783,62.1574550,117.6463320,Республика Саха (Якутия),Suntar,Сунтар,село
302372139,58.3105550,112.9034190,Иркутская область,Mama,Мама,посёлок городского типа
302394449,59.6252670,112.7502140,Республика Саха (Якутия),Peleduy,Пеледуй,посёлок городского типа
302524562,55.7835730,109.5717620,Бурятия,Nizhneangarsk,Нижнеангарск,посёлок городского типа
302534600,50.5886270,107.5992740,Бурятия,Bichura,Бичура,село
302605557,67.5495068,133.3874618,Республика Саха (Якутия),Verkhoyansk,Верхоянск,город
302878865,62.7182270,129.6642460,Республика Саха (Якутия),Namtsy,Намцы,село
303015164,66.6780339,34.3376019,Мурманская область,Umba,Умба,посёлок городского типа
303016392,55.0007130,45.3105050,Нижегородская область,Veliko Boldino,Большое Болдино,село
303019430,67.9415427,34.5489702,Мурманская область,Revda,Ревда,посёлок городского типа
303232160,44.1092655,40.7902989,Краснодарский край,Psebai,Псебай,посёлок городского типа
303353860,67.3740840,32.4957920,Мурманская область,Polarnie Zori,Полярные Зори,город
303486344,43.8549752,41.5853611,,Zelenchukskaya,Зеленчукская,станица
303968215,68.0544447,39.5129384,Мурманская область,Ostrovnoy,Островной,город
303973327,69.4262390,30.8199390,Мурманская область,Zapolyarnyy,Заполярный,город
303980218,69.0691680,33.4166560,Мурманская область,Severomorsk,Североморск,город
304025149,67.5630490,30.4741080,Мурманская область,Kovdor,Ковдор,город
304337561,54.4087410,22.0143590,Калининградская область,Ozyorsk,Озёрск,город
304552309,70.6193824,147.9023970,Республика Саха (Якутия),Chokurdakh,Чокурдах,посёлок городского типа
304552666,58.7430660,27.8156854,Псковская область,Gdov,Гдов,город
304605480,62.1353150,77.4626160,,Raduzhny,Радужный,город
304663037,52.4228480,136.4893800,Хабаровский край,Imeni Poliny Osipenko,имени Полины Осипенко,село
304718065,43.8880990,41.4534086,,Storozhevaya,Сторожевая,станица
304718066,43.9528755,41.1917906,,Pregradnaya,Преградная,станица
304718444,44.6347953,40.7242185,Краснодарский край,Labinsk,Лабинск,город
304718565,44.4138041,40.7899446,Краснодарский край,Mostovskoy,Мостовской,посёлок городского типа
304721209,50.2112960,38.1002270,Белгородская область,Valuyki,Валуйки,город
306174317,56.0368560,37.2333009,Московская область,Mendeleyevo,Менделеево,посёлок городского типа
306457009,59.7646310,60.1936117,Свердловская область,Krasnoturinsk,Краснотурьинск,город
306457427,59.7667893,60.0009267,Свердловская область,Karpinsk,Карпинск,город
306458157,59.9347177,60.0779677,Свердловская область,Volchansk,Волчанск,город
306545784,54.4678385,38.7223330,Московская область,Serebryanye Prudy,Серебряные Пруды,рабочий посёлок
307058961,63.1915130,64.4243010,,Igrim,Игрим,посёлок городского типа
307067079,62.5444310,65.6479261,,Priobye,Приобье,посёлок городского типа
307089440,60.1291200,64.8036270,,Uray,Урай,город
307395771,65.8565750,74.4947970,Ямало-Ненецкий автономный округ,,Пангоды,посёлок городского типа
